material_id,composition,G_vrh
mp-862737,Li1 Hg1 Pd2,22.7
mp-22716,Li2 Cu4 P2,32.433
mp-30819,Li1 Al2 Pt1,59.706
mp-867170,Li1 Ga1 Pt2,153.628
mp-569685,Li1 Zn1 P1,-72.249
mp-1307,Li2 Ga2,20.189
mp-989551,Li1 Tl2 In1 F6,13.628
mp-10615,Ba1 Li1 P1,24.535
mp-1018133,Li1 H1 Pd1,38.705
mp-6521,Li2 La2 Ti2 O8,53.816
mp-867198,Li1 Ga1 Pd2,-39.18
mp-867223,Li1 Ga2 Ni1,42.228
mp-15789,Li1 Dy1 S2,27.451
mp-861955,Li1 Pm2 Ge1,26.487
mp-755144,Na2 Li2 O2,39.05
mp-865578,Li1 Nd2 Ga1,24.558
mp-20567,Li1 Ga2 Ru1,46.408
mp-605860,Ba16 Li8 N8,6.403
mp-773044,Li2 Cu2 O4,22.461
mp-631319,Li1 Ti1 Re1,-27.038
mp-21471,Li2 Fe2 As2,39.305
mp-33526,Li2 Bi2 S4,32.521
mp-974642,Li1 Ag2 Pb1,8.871
mp-33667,Li2 Dy2 S4,36.047
mp-867873,Li1 Tm2 Al1,35.568
mp-867121,Li1 Y2 Pt1,30.073
mp-9839,K2 Li1 Al1 F6,25.226
mp-5419,Li1 Ga2 Ir1,40.935
mp-11807,Li1 Pt1,51.982
mp-32641,Li1 S1,-36.107
mp-755959,Na4 Li4 O4,16.356
mp-976793,Li1 Er2 Ga1,36.081
mp-862673,Li1 Y2 Ru1,29.28
mp-865924,Li1 Zr1 Au2,5.343
mp-861876,Li1 Ac2 Si1,22.936
mp-973841,Li1 Ho2 Al1,33.455
mp-865795,Li1 Sc2 Ru1,34.245
mp-24150,Li1 Nd2 H1 O3,86.992
mp-1205309,Li2 B2,32.433
mp-15796,Li1 Ho1 Se2,24.071
mp-996987,Li2 Cu2 O4,43.139
mp-3635,Li4 B4 O8,31.277
mp-862870,Li1 Tc1 O3,79.846
mp-862619,Li1 Er1 In2,20.144
mp-29633,Li1 Ge1 Pd2,37.662
mp-24148,Li1 La2 H1 O3,72.439
mp-867253,Li1 Zn2 Ir1,40.679
mp-862926,Li1 Pm1 Au2,67.79
mp-632402,Li1 Ca1 U1 F8,14.907
mp-14208,Li3 Y3 Si3,48.636
mp-2894145,Li1 Mg6 Mo1,27.637
mp-13590,Li1 B1 C4 N4,6.383
mp-5159,Li1 Ga2 Pd1,20.021
mp-11947,Li1 Al1 Ag2,32.565
mp-20049,Li2 Fe2 P2,51.439
mp-3660,Li4 B12 O20,47.464
mp-861660,Li1 Nd1 Hg2,9.543
mp-865933,Li1 Si1 Ir2,127.917
mp-15821,Li3 Nd3 Ge3,38.814
mp-23736,Li2 Mg2 H6,28.674
mp-5853,Li2 Si4 N6,121.468
mp-6668,Li4 Ti4 P4 O20,58.853
mp-961703,Na1 Li1 Pt1,-40.599
mp-10687,Li1 Cd1 P1,4.094
mp-600561,Li1 Rh1,41.679
mp-862716,Li1 Ag3,24.289
mp-861954,Li1 Ta1 Ru2,66.077
mp-862887,Li1 Sc2 Os1,40.992
mp-976330,Li1 Zr2 Ir1,40.126
mp-6270,Ba2 Li1 Re1 O6,43.501
mp-1009014,Li1 Cu1 O1,46.923
mp-989512,Li1 Tl2 In1 Cl6,10.42
mp-865925,Li1 Zr1 Ir2,53.838
mp-6654,Cs2 Li1 Ga1 F6,9.426
mp-760408,Li2 Zn2 O4,49.385
mp-556562,Li2 As2 H12 O6 F12,9.562
mp-975368,Li1 Ca2 Mg1,9.154
mp-552663,Li1 Sc1 As2 O7,46.083
mp-867210,Li1 Ca2 Hg1,12.698
mp-13396,Li1 In2 Rh1,37.101
mp-1018026,Li2 Ag2,14.296
mp-863675,Li1 Pm2 Ru1,24.444
mp-1029251,Li4 Ru4 N4,58.104
mp-504691,Li2 Mn2 P2,38.837
mp-1001790,Li1 O3,18.166
mp-865444,Li1 Sc2 Pt1,37.52
mp-1017626,Li1 Ca1 F3,48.995
mp-631333,Li1 Pd1 W2,-11.43
mp-862775,Li1 In1 Rh2,36.12
mp-753098,Li1 Cu1 F2,24.837
mp-867872,Li1 Cd1 Ag2,8.994
mp-973826,Li1 Ho1 Sn2,79.056
mp-3161,Li1 Al1 Si1,55.349
mp-862610,Li1 Hf1 Ir2,62.733
mp-30763,Li1 Pd2 Pb1,9.173
mp-8132,Li1 Ti3 Se6,17.774
mp-867235,Li1 Y2 Ir1,32.546
mp-569834,Li2 Cu4 Sn2,44.076
mp-644271,Li2 H2 S2,7.822
mp-862717,Li1 Al1 Au2,36.27
mp-754542,Li1 V1 S2,32.603
mp-862928,Li1 Pm1 Tl2,15.462
mp-30209,Li4 B4 H16,7.936
mp-757100,Li1 Co1 S2,19.302
mp-7473,Li1 Cu2 Si1,55.803
mp-559598,Li2 Sc2 F8,31.055
mp-1378,Li2 C2,30.156
mp-12558,Li1 Mg1 As1,36.802
mp-867926,Li1 In1 Pd2,-2.593
mp-755552,Li1 Y1 S2,43.12
mp-867812,Li1 Al1 Ni2,4.832
mp-752927,Li2 Ag2 F4,14.637
mp-867803,Li1 Ca2 Cd1,11.67
mp-10584,Ba2 Li1 Os1 O6,43.765
mp-861882,Li1 Ge1 Ir2,107.147
mp-973374,Li2 Mg4,13.561
mp-863727,Li1 Ti1 Rh2,60.474
mp-867805,Li1 Ca2 Ga1,20.928
mp-976596,Li1 Lu2 Ga1,37.55
mp-962066,Na1 Li1 Te1,-58.994
mp-14115,Li1 Rh1 O2,43.813
mp-2012,Li1 Hg1,13.906
mp-279,Li1 Ir1,68.118
mp-7936,Li2 Nb2 S4,57.167
mp-864597,Li1 Mg1 Tl2,13.128
mp-7350,Li2 Y4 Si4,42.707
mp-631449,Li1 Ta1 Be1,-19.055
mp-867145,Li1 Ho2 Ga1,34.678
mp-9950,Ba1 Li1 Si1,17.23
mp-862730,Li1 Ga1 Rh2,59.775
mp-756784,Li1 Sb1 S2,35.827
mp-977380,Li1 Mg2 Pd1,25.898
mp-867820,Li1 Al1 Pd2,-37.156
mp-22460,Li2 In2,7.674
mp-867251,Li1 Zn2 Pt1,31.667
mp-28254,Li2 Ru2 O4,103.758
mp-15820,Li3 Ho3 Ge3,48.427
mp-754516,Li2 Ni2 P2,32.248
mp-861933,Li1 Tm1 Hg2,15.603
mp-1001783,Li1 Sn1 S2,26.474
mp-758052,Li2 Cu2 F6,4.969
mp-976744,Li1 Er2 Tl1,28.817
mp-9124,Li1 Zn1 As1,40.964
mp-867167,Li1 Ca2 Tl1,14.441
mp-30759,Li1 Mg2 Tl1,13.48
mp-862745,Sr2 Li1 Pt1,14.401
mp-867902,Li1 Si1 Rh2,102.23
mp-10485,Ba2 Li2 Sb2,23.278
mp-989536,Cs2 Li1 N1 F6,-12.71
mp-863673,Li1 Pm2 Rh1,22.513
mp-13915,Li1 Ni2 Sn1,29.525
mp-867293,Li1 Co2 Si1,117.437
mp-624492,Li1 Fe6 Ge4,59.397
mp-861947,Li1 Pm2 Ga1,25.461
mp-569073,Li3 Sn3,19.881
