material_id,formula_pretty,composition,K_vrh,G_vrh
mp-2894145,LiMg6Mo,Li1 Mg6 Mo1,46.099,27.637
mp-13590,LiB(CN)4,Li1 B1 C4 N4,28.204,6.383
mp-5159,LiGa2Pd,Li1 Ga2 Pd1,83.371,20.021
mp-11947,LiAlAg2,Li1 Al1 Ag2,71.27,32.565
mp-20049,LiFeP,Li2 Fe2 P2,71.576,51.439
mp-3660,LiB3O5,Li4 B12 O20,83.932,47.464
mp-861660,LiNdHg2,Li1 Nd1 Hg2,48.714,9.543
mp-865933,LiSiIr2,Li1 Si1 Ir2,230.966,127.917
mp-15821,LiNdGe,Li3 Nd3 Ge3,54.525,38.814
mp-23736,LiMgH3,Li2 Mg2 H6,40.623,28.674
mp-5853,LiSi2N3,Li2 Si4 N6,158.088,121.468
mp-6668,LiTiPO5,Li4 Ti4 P4 O20,97.252,58.853
mp-961703,NaLiPt,Na1 Li1 Pt1,28.036,-40.599
mp-10687,LiCdP,Li1 Cd1 P1,53.16,4.094
mp-600561,LiRh,Li1 Rh1,106.321,41.679
mp-862716,LiAg3,Li1 Ag3,66.506,24.289
mp-861954,LiTaRu2,Li1 Ta1 Ru2,190.046,66.077
mp-862887,LiSc2Os,Li1 Sc2 Os1,98.86,40.992
mp-976330,LiZr2Ir,Li1 Zr2 Ir1,131.667,40.126
mp-6270,Ba2LiReO6,Ba2 Li1 Re1 O6,84.792,43.501
mp-1009014,LiCuO,Li1 Cu1 O1,97.277,46.923
mp-989512,LiTl2InCl6,Li1 Tl2 In1 Cl6,22.841,10.42
mp-865925,LiZrIr2,Li1 Zr1 Ir2,164.912,53.838
mp-6654,Cs2LiGaF6,Cs2 Li1 Ga1 F6,23.035,9.426
mp-760408,LiZnO2,Li2 Zn2 O4,94.162,49.385
mp-556562,LiAsH6(OF2)3,Li2 As2 H12 O6 F12,16.616,9.562
mp-975368,LiCa2Mg,Li1 Ca2 Mg1,20.611,9.154
mp-552663,LiScAs2O7,Li1 Sc1 As2 O7,88.172,46.083
mp-867210,LiCa2Hg,Li1 Ca2 Hg1,26.023,12.698
mp-13396,LiIn2Rh,Li1 In2 Rh1,90.326,37.101
mp-1018026,LiAg,Li2 Ag2,44.019,14.296
mp-863675,LiPm2Ru,Li1 Pm2 Ru1,65.347,24.444
mp-1029251,LiRuN,Li4 Ru4 N4,104.541,58.104
mp-504691,LiMnP,Li2 Mn2 P2,88.94,38.837
mp-1001790,LiO3,Li1 O3,36.573,18.166
mp-865444,LiSc2Pt,Li1 Sc2 Pt1,89.908,37.52
mp-1017626,LiCaF3,Li1 Ca1 F3,79.537,48.995
mp-631333,LiPdW2,Li1 Pd1 W2,189.875,-11.43
mp-862775,LiInRh2,Li1 In1 Rh2,125.117,36.12
mp-753098,LiCuF2,Li1 Cu1 F2,57.622,24.837
mp-867872,LiCdAg2,Li1 Cd1 Ag2,58.234,8.994
mp-973826,LiHoSn2,Li1 Ho1 Sn2,46.456,79.056
mp-3161,LiAlSi,Li1 Al1 Si1,63.069,55.349
mp-862610,LiHfIr2,Li1 Hf1 Ir2,174.685,62.733
mp-30763,LiPd2Pb,Li1 Pd2 Pb1,81.931,9.173
mp-8132,Li(TiSe2)3,Li1 Ti3 Se6,23.112,17.774
mp-867235,LiY2Ir,Li1 Y2 Ir1,80.823,32.546
mp-569834,LiCu2Sn,Li2 Cu4 Sn2,75.321,44.076
mp-644271,LiHS,Li2 H2 S2,21.446,7.822
mp-862717,LiAlAu2,Li1 Al1 Au2,97.735,36.27
mp-754542,LiVS2,Li1 V1 S2,61.175,32.603
mp-862928,LiPmTl2,Li1 Pm1 Tl2,41.737,15.462
mp-30209,LiBH4,Li4 B4 H16,15.533,7.936
mp-757100,LiCoS2,Li1 Co1 S2,69.93,19.302
mp-7473,LiCu2Si,Li1 Cu2 Si1,105.396,55.803
mp-559598,LiScF4,Li2 Sc2 F8,86.711,31.055
mp-1378,LiC,Li2 C2,40.769,30.156
mp-12558,LiMgAs,Li1 Mg1 As1,46.549,36.802
mp-867926,LiInPd2,Li1 In1 Pd2,100.631,-2.593
mp-755552,LiYS2,Li1 Y1 S2,69.089,43.12
mp-867812,LiAlNi2,Li1 Al1 Ni2,117.454,4.832
mp-752927,LiAgF2,Li2 Ag2 F4,68.307,14.637
mp-867803,LiCa2Cd,Li1 Ca2 Cd1,23.718,11.67
mp-10584,Ba2LiOsO6,Ba2 Li1 Os1 O6,82.233,43.765
mp-861882,LiGeIr2,Li1 Ge1 Ir2,206.944,107.147
mp-973374,LiMg2,Li2 Mg4,28.486,13.561
mp-863727,LiTiRh2,Li1 Ti1 Rh2,154.975,60.474
mp-867805,LiCa2Ga,Li1 Ca2 Ga1,28.548,20.928
mp-976596,LiLu2Ga,Li1 Lu2 Ga1,56.068,37.55
mp-962066,NaLiTe,Na1 Li1 Te1,21.842,-58.994
mp-14115,LiRhO2,Li1 Rh1 O2,114.358,43.813
mp-2012,LiHg,Li1 Hg1,32.253,13.906
mp-279,LiIr,Li1 Ir1,141.786,68.118
mp-7936,LiNbS2,Li2 Nb2 S4,82.755,57.167
mp-864597,LiMgTl2,Li1 Mg1 Tl2,30.009,13.128
mp-7350,Li(YSi)2,Li2 Y4 Si4,67.911,42.707
mp-631449,LiTaBe,Li1 Ta1 Be1,65.88,-19.055
mp-867145,LiHo2Ga,Li1 Ho2 Ga1,54.046,34.678
mp-9950,BaLiSi,Ba1 Li1 Si1,28.242,17.23
mp-862730,LiGaRh2,Li1 Ga1 Rh2,148.873,59.775
mp-756784,LiSbS2,Li1 Sb1 S2,62.775,35.827
mp-977380,LiMg2Pd,Li1 Mg2 Pd1,57.675,25.898
mp-867820,LiAlPd2,Li1 Al1 Pd2,119.104,-37.156
mp-22460,LiIn,Li2 In2,32.743,7.674
mp-867251,LiZn2Pt,Li1 Zn2 Pt1,104.433,31.667
mp-28254,LiRuO2,Li2 Ru2 O4,196.978,103.758
mp-15820,LiHoGe,Li3 Ho3 Ge3,61.118,48.427
mp-754516,LiNiP,Li2 Ni2 P2,59.926,32.248
mp-861933,LiTmHg2,Li1 Tm1 Hg2,54.296,15.603
mp-1001783,LiSnS2,Li1 Sn1 S2,47.326,26.474
mp-758052,LiCuF3,Li2 Cu2 F6,72.986,4.969
mp-976744,LiEr2Tl,Li1 Er2 Tl1,50.836,28.817
mp-9124,LiZnAs,Li1 Zn1 As1,53.606,40.964
mp-867167,LiCa2Tl,Li1 Ca2 Tl1,26.242,14.441
mp-30759,LiMg2Tl,Li1 Mg2 Tl1,32.073,13.48
mp-862745,Sr2LiPt,Sr2 Li1 Pt1,30.834,14.401
mp-867902,LiSiRh2,Li1 Si1 Rh2,186.513,102.23
mp-10485,BaLiSb,Ba2 Li2 Sb2,30.026,23.278
mp-989536,Cs2LiNF6,Cs2 Li1 N1 F6,38.096,-12.71
mp-863673,LiPm2Rh,Li1 Pm2 Rh1,62.498,22.513
mp-13915,LiNi2Sn,Li1 Ni2 Sn1,112.914,29.525
mp-867293,LiCo2Si,Li1 Co2 Si1,171.867,117.437
mp-624492,Li(Fe3Ge2)2,Li1 Fe6 Ge4,127.273,59.397
mp-861947,LiPm2Ga,Li1 Pm2 Ga1,41.038,25.461
mp-569073,LiSn,Li3 Sn3,34.696,19.881
mp-16343,LiInGe,Li1 In1 Ge1,37.377,33.386
mp-865793,LiSc2Rh,Li1 Sc2 Rh1,85.14,30.034
mp-9244,LiBC,Li2 B2 C2,153.134,133.263
mp-20754,LiCeSn2,Li2 Ce2 Sn4,47.381,27.191
mp-865029,LiPaRu2,Li1 Pa1 Ru2,146.833,9.708
mp-4226,LiCrS2,Li1 Cr1 S2,64.206,40.013
mp-10178,LiMgP,Li1 Mg1 P1,55.743,22.303
mp-568466,LiInSn,Li1 In1 Sn1,34.609,19.365
mp-961645,LiAlGe,Li1 Al1 Ge1,48.554,4.56
mp-30765,LiPt7,Li1 Pt7,217.916,77.09
mp-7149,Na2LiN,Na2 Li1 N1,33.247,16.882
mp-551092,KLiZnO2,K2 Li2 Zn2 O4,58.328,29.535
mp-37906,LiMgN,Li1 Mg1 N1,98.683,82.964
mp-1437,LiCd,Li2 Cd2,35.162,11.921
mp-861936,LiPd3,Li1 Pd3,120.749,37.805
mp-777047,LiTmO2,Li1 Tm1 O2,93.296,40.168
mp-9158,LiCuO2,Li1 Cu1 O2,81.11,41.021
mp-7543,LiVS2,Li1 V1 S2,64.697,189.536
mp-15795,LiDySe2,Li1 Dy1 Se2,41.119,24.176
mp-11175,LiZnPS4,Li1 Zn1 P1 S4,31.32,15.461
mp-866150,LiSm2Os,Li1 Sm2 Os1,74.266,31.695
mp-1018134,Li,Li3,13.804,4.151
mp-8180,LiNO3,Li2 N2 O6,39.77,22.996
mp-10250,BaLiF3,Ba1 Li1 F3,69.602,42.339
mp-865866,LiZrPt2,Li1 Zr1 Pt2,139.016,27.199
mp-3427,LiAlO2,Li4 Al4 O8,92.356,52.968
mp-861652,LiLuPt2,Li1 Lu1 Pt2,106.05,41.098
mp-758594,Li(Fe3P2)2,Li1 Fe6 P4,175.385,39.307
mp-2744,LiPd,Li1 Pd1,79.812,34.789
mp-28835,LiScI3,Li2 Sc2 I6,16.739,10.994
mp-861667,LiSbRh2,Li1 Sb1 Rh2,149.879,13.887
mp-864772,LiSc2Au,Li1 Sc2 Au1,74.156,36.814
mp-23818,BaLiH3,Ba1 Li1 H3,37.474,38.849
