material_id,composition,K_vrh
mp-861933,Li1 Tm1 Hg2,54.296
mp-1001783,Li1 Sn1 S2,47.326
mp-758052,Li2 Cu2 F6,72.986
mp-976744,Li1 Er2 Tl1,50.836
mp-9124,Li1 Zn1 As1,53.606
mp-867167,Li1 Ca2 Tl1,26.242
mp-30759,Li1 Mg2 Tl1,32.073
mp-862745,Sr2 Li1 Pt1,30.834
mp-867902,Li1 Si1 Rh2,186.513
mp-10485,Ba2 Li2 Sb2,30.026
mp-989536,Cs2 Li1 N1 F6,38.096
mp-863673,Li1 Pm2 Rh1,62.498
mp-13915,Li1 Ni2 Sn1,112.914
mp-867293,Li1 Co2 Si1,171.867
mp-624492,Li1 Fe6 Ge4,127.273
mp-861947,Li1 Pm2 Ga1,41.038
mp-569073,Li3 Sn3,34.696
mp-16343,Li1 In1 Ge1,37.377
mp-865793,Li1 Sc2 Rh1,85.14
mp-9244,Li2 B2 C2,153.134
mp-20754,Li2 Ce2 Sn4,47.381
mp-865029,Li1 Pa1 Ru2,146.833
mp-4226,Li1 Cr1 S2,64.206
mp-10178,Li1 Mg1 P1,55.743
mp-568466,Li1 In1 Sn1,34.609
mp-961645,Li1 Al1 Ge1,48.554
mp-30765,Li1 Pt7,217.916
mp-7149,Na2 Li1 N1,33.247
mp-551092,K2 Li2 Zn2 O4,58.328
mp-37906,Li1 Mg1 N1,98.683
mp-1437,Li2 Cd2,35.162
mp-861936,Li1 Pd3,120.749
mp-777047,Li1 Tm1 O2,93.296
mp-9158,Li1 Cu1 O2,81.11
mp-7543,Li1 V1 S2,64.697
mp-15795,Li1 Dy1 Se2,41.119
mp-11175,Li1 Zn1 P1 S4,31.32
mp-866150,Li1 Sm2 Os1,74.266
mp-1018134,Li3,13.804
mp-8180,Li2 N2 O6,39.77
mp-10250,Ba1 Li1 F3,69.602
mp-865866,Li1 Zr1 Pt2,139.016
mp-3427,Li4 Al4 O8,92.356
mp-861652,Li1 Lu1 Pt2,106.05
mp-758594,Li1 Fe6 P4,175.385
mp-2744,Li1 Pd1,79.812
mp-28835,Li2 Sc2 I6,16.739
mp-861667,Li1 Sb1 Rh2,149.879
mp-864772,Li1 Sc2 Au1,74.156
mp-23818,Ba1 Li1 H3,37.474
mp-2468815,Li2 Co2 S4,80.565
mp-861665,Li1 Tm1 In2,38.577
mp-862316,Li1 Be1 Pt2,165.822
mp-977418,Li1 Mg1 Au2,68.967
mp-973979,Li1 Fe1 Pd2,119.616
mp-864601,Li1 Mg2 Rh1,66.418
mp-861905,Li1 Bi1 Pd2,82.613
mp-4586,Li2 Al2 Te4,27.57
mp-2927,Li1 Ag2 Sn1,59.483
mp-23703,Li1 H1,36.35
mp-774712,Li2 Cu2 S2,53.764
mp-864930,Li1 Ti1 Ir2,190.484
mp-10616,Ba1 Li1 As1,34.083
mp-864598,Li1 Mg2 Ag1,44.769
mp-37879,Li2 Y2 Se4,45.569
mp-864997,Li1 Si1 Pd2,139.601
mp-974950,Rb3 Li1,3.577
mp-34477,Li2 Sm2 S4,50.115
mp-861663,Li1 Rh2 Pb1,125.906
mp-570213,Li1 Mg1 Bi1,31.336
mp-863697,Li1 Pm2 Si1,55.755
mp-976262,Li3 Mg3,25.743
mp-13276,Sr2 Li2 P2,44.645
mp-8864,Li1 Co6 P4,202.474
mp-977218,Li4 Mg2,21.078
mp-27454,Ba2 Li4 Si2,27.21
mp-30818,Li2 Al1 Pt1,84.603
mp-12411,Li2 Zn1 Ge1,48.483
mp-8181,Li2 Ce1 N2,110.495
mp-7924,Li4 Sn10,41.724
mp-30080,Li2 Ge1 Pd1,62.413
mp-2661453,Li2 H2 Pt1,49.367
mp-9912,Li2 Ce1 P2,57.891
mp-861651,Li2 Pd1 Pb1,50.293
mp-4779,Li8 B16 O28,41.92
mp-27705,Li4 Si2,32.884
mp-866179,Li2 Nd1 Tl1,39.457
mp-5012,Li4 Si2 O6,76.805
mp-4002,Li2 Zr1 F6,58.042
mp-30816,Li2 Al1 Pd1,68.314
mp-4556,Li8 S4 O16,45.0
mp-7779,Li2 Nd1 As2,44.285
mp-865666,Li2 Tl1 Ag1,32.933
mp-1185209,Li8 Zn4 Si4,52.049
mp-22961,Li4 Zn2 Cl8,31.855
mp-31441,Li2 Ga1 Ir1,95.635
mp-10525,Na1 Li2 N1,53.888
mp-567389,Li2 Zn1 Ge1,42.925
mp-567347,Li2 Ag1 Sn1,46.665
mp-865874,Li2 Ag1 Hg1,37.398
mp-15988,Li2 Cu1 Sb1,52.716
mp-2170,Li2 Pt1,66.968
mp-30820,Li2 Al1 Rh1,80.792
mp-30758,Li2 Mg1 Pb1,36.254
mp-973343,Li2 Mg1 Hg1,30.915
mp-2987,Li2 Mg1 Tl1,27.001
mp-728,Li2 Pd1,50.698
mp-557142,Li4 S2,38.36
mp-752881,Li2 Cu1 S2,45.823
mp-20484,Li2 Fe1 Cu1 C6 N6,55.127
mp-30591,Li2 Cu1 Sn1,52.666
mp-862934,Li2 Pm1 Tl1,39.836
mp-35841,Li2 Cu1 Ge1,58.787
mp-865871,Li2 Zn1 Au1,46.741
mp-4630,Li4 Ru2 O6,109.493
