material_id,composition,E_f
mp-760248,Li2 Fe4 B4 O12,-2.2505364024242422
mp-757777,Li2 Si2 Bi6 O14,-2.137421100902777
mp-1235030,Li1 Eu1 Y1 O2,-2.4317341386666684
mp-753425,Li2 Cu2 C2 O6,-1.678533529722222
mp-973966,Li1 In1 I4 O12,-1.156085626666666
mp-1222311,Li1 Ge1 Sb1 Te3,-0.5257968330555549
mp-1101530,Li4 Mn4 P8 O28,-2.5570167877772807
mp-1200222,K8 Li4 P12 O40,-2.378534562141369
mp-1021276,Li2 Mg12 Cd2,-0.0275772091666663
mp-1021327,K1 Li1 I1 Cl1,-1.7581187351458332
mp-510641,Li4 Fe4 As4 O16,-1.921160244761904
mp-764774,Li4 Ti8 V12 O48,-2.7441802126388897
mp-1236649,Ba3 Li1 Ti3 O8,-2.993196292888887
mp-779091,Li2 Fe8 B8 O24,-2.222640789523809
mp-1185366,Li1 Mg2 In1,-0.1280379899999995
mp-765692,Li4 Co8 O4 F12,-2.1886060872619053
mp-773043,Li8 Fe16 O32,-1.6397954008333326
mp-1185331,Li1 Dy2 Rh1,-0.4771072916666643
mp-556156,Li4 U4 B4 O20,-3.176643329687499
mp-1101598,Li2 Ni2 P4 O14,-2.2735973686471853
mp-1235073,Li1 Lu2 W2 Cl2 O8,-2.652696119111111
mp-754153,Li4 H8 Br4 O4,-1.519568185166667
mp-1188255,Li4 La4 Ge8,-0.7004761820833334
mp-1040052,Li1 Mg30 Ga1 O32,-2.98446849345052
mp-1236120,Rb2 Li1 Pu1 Cl4 O2,-2.387227333208332
mp-1235061,Li1 Si6 O12,-2.91718272754386
mp-1196671,Li4 Zn4 Si8 H188 C68 N16,-0.1932549107233801
mp-757096,Li12 Cr12 P12 O48,-2.523937412687073
mp-771267,Li2 Zn2 Fe14 O24,-1.692872042777777
mp-753471,Li4 Cu4 B4 O12,-2.0480517637499998
mp-1195205,Li4 P8 H32 N4 O32,-1.7543715241309528
mp-3666,Li2 Ta2 O6,-3.1227771396333357
mp-1235533,Li1 Al2 V4 O8,-2.452234883555555
mp-1176751,Li2 Fe4 O4 F6,-1.912865145104166
mp-638276,Li2 Eu8 C6 I6 N12,-1.2064572262254905
mp-758769,Li4 Ni4 C8 O24,-1.6204635858333334
mp-752623,Li6 Co6 Si6 O24,-2.306200937380952
mp-18048,Li6 Zn6 As6 O24,-1.9967188063095231
mp-1279363,Li4 Fe4 O4 F4,-2.223518545208334
mp-766000,Li2 V2 Cr2 P8 O28,-2.6419416812811782
mp-26093,Li4 Ni4 P4 O16,-2.353281488282313
mp-1235471,Li1 Cu6 O1 F11,-1.7744947357017546
mp-731921,Li4 Be4 N4 F16,-2.073864177261905
mp-865870,Li1 Zr2 Os1,-0.3868414916666687
mp-1206798,Li1 Ca2 Ge1,-0.3944332745833327
mp-1112670,Cs2 Li1 Tl1 Br6,-1.6128252525977025
mp-1235254,Li1 Fe8 O12 F4,-1.7149055741333314
mp-977391,Li1 Nd2 Os1,-0.1147703479166644
mp-768693,Li4 Mn4 P4 C4 O28,-2.176182472582476
mp-605006,Li8 H64 C16 S16 N8 O40,-0.908158832741228
mp-770866,Li4 Mn20 O32,-2.0187076537848947
mp-768665,Li4 Bi4 B8 O20,-2.398097644907406
mp-504948,Li4 Sc4 Ge4 O16,-2.873550546190476
mp-754504,Li1 Mn3 Cr1 O8,-1.9737106067020331
mp-761164,Li4 Nb4 F20,-3.088930433166668
mp-1035435,Li1 Mg14 Fe1 O16,-2.889751676041666
mp-757123,Li4 V4 Si4 O16,-2.7533254726190477
mp-1235359,Ba2 Li1 La1 Cu3 O7,-2.121137445773809
mp-1235739,K2 Li1 Nd4 Nb2 O12,-3.129960323706348
mp-12403,Li3 B3 F12,-3.142573524861111
mp-759365,Li12 Cu12 P12 O48,-2.1285383584013595
mp-761817,Li4 Nb4 V4 O16,-2.6685053279761908
mp-757820,Li8 Ni8 P8 O32,-2.287238377032313
mp-1111476,Na2 Li1 Sb1 Cl6,-1.4529085644166684
mp-1017482,Li2 Hf2 Mg12,0.1444423570833333
mp-757956,Li1 P2 W1 O7,-2.487573800465367
mp-1205646,K2 Li1 Pd1 F6,-2.4865625004166767
mp-1211965,K12 Li12 Mo12 O48,-2.248308087940476
mp-1565491,Li2 V4 Ni2 O12,-2.1736598458333325
mp-1111244,K2 Li1 Sm1 Cl6,-2.2954816479166653
mp-780424,Li4 Mn4 P12 O36,-2.5665886651923526
mp-1111657,K2 Li1 Tm1 Cl6,-2.309004981066664
mp-22200,Li3 Mn3 Fe3 F18,-2.882629916251596
mp-765590,Li4 Fe4 P4 O16,-2.401621558639455
mp-26571,Li4 Cr4 P8 O28,-2.6371730709199137
mp-1222351,Li2 Fe2 F12,-2.1840743085416623
mp-1567478,Li4 V4 P8 O28,-2.686733326374458
mp-1238856,Li4 Cr8 S16,-0.8974508597619035
mp-758605,Li2 Mn2 F8,-2.842714117710728
mp-8491,Li2 In2 P4 O14,-2.5998495560714265
mp-7800,Li4 Sm4 O8,-3.175952080208333
mp-1235206,K2 Li1 S2 O4 F2,-2.122273112530302
mp-1222331,Li1 Y1 Mo2 O8,-2.491140433611111
