formula,X,B,A,A_w,A_d,A_dw,composition,Tolerance_Factor
Li3Te(BH4)0.875(IO4)0.125,Li,Te,BH4,0.875,IO4,0.125,Li3 B0.875 Te1 H3.5 I0.125 O0.5,0.6779416025012437
Li3Te(BH4)0.75(IO4)0.25,Li,Te,BH4,0.75,IO4,0.25,Li3 B0.75 Te1 H3 I0.25 O1,0.6916313802514883
Li3Te(BH4)0.625(IO4)0.375,Li,Te,BH4,0.625,IO4,0.375,Li3 B0.625 Te1 H2.5 I0.375 O1.5,0.7053211580017329
Li3Te(BH4)0.5(IO4)0.5,Li,Te,BH4,0.5,IO4,0.5,Li3 B0.5 Te1 H2 I0.5 O2,0.7190109357519775
Li3Te(BH4)0.375(IO4)0.625,Li,Te,BH4,0.375,IO4,0.625,Li3 B0.375 Te1 H1.5 I0.625 O2.5,0.7327007135022222
Li3Te(BH4)0.25(IO4)0.75,Li,Te,BH4,0.25,IO4,0.75,Li3 B0.25 Te1 H1 I0.75 O3,0.7463904912524668
Li3Te(BH4)0.125(IO4)0.875,Li,Te,BH4,0.125,IO4,0.875,Li3 B0.125 Te1 H0.5 I0.875 O3.5,0.7600802690027114
Li3Te(BH4)0.875(CN)0.125,Li,Te,BH4,0.875,CN,0.125,Li3 B0.875 Te1 H3.5 C0.125 N0.125,0.6606805783813701
Li3Te(BH4)0.75(CN)0.25,Li,Te,BH4,0.75,CN,0.25,Li3 B0.75 Te1 H3 C0.25 N0.25,0.657109332011741
Li3Te(BH4)0.625(CN)0.375,Li,Te,BH4,0.625,CN,0.375,Li3 B0.625 Te1 H2.5 C0.375 N0.375,0.653538085642112
Li3Te(BH4)0.5(CN)0.5,Li,Te,BH4,0.5,CN,0.5,Li3 B0.5 Te1 H2 C0.5 N0.5,0.649966839272483
Li3Te(BH4)0.375(CN)0.625,Li,Te,BH4,0.375,CN,0.625,Li3 B0.375 Te1 H1.5 C0.625 N0.625,0.646395592902854
Li3Te(BH4)0.25(CN)0.75,Li,Te,BH4,0.25,CN,0.75,Li3 B0.25 Te1 H1 C0.75 N0.75,0.642824346533225
Li3Te(BH4)0.125(CN)0.875,Li,Te,BH4,0.125,CN,0.875,Li3 B0.125 Te1 H0.5 C0.875 N0.875,0.6392531001635959
Li3Te(BH4)0.875Cl0.125,Li,Te,BH4,0.875,Cl,0.125,Li3 B0.875 Te1 H3.5 Cl0.125,0.6577045397400125
Li3Te(BH4)0.75Cl0.25,Li,Te,BH4,0.75,Cl,0.25,Li3 B0.75 Te1 H3 Cl0.25,0.6511572547290261
Li3Te(BH4)0.625Cl0.375,Li,Te,BH4,0.625,Cl,0.375,Li3 B0.625 Te1 H2.5 Cl0.375,0.6446099697180395
Li3Te(BH4)0.5Cl0.5,Li,Te,BH4,0.5,Cl,0.5,Li3 B0.5 Te1 H2 Cl0.5,0.638062684707053
Li3Te(BH4)0.375Cl0.625,Li,Te,BH4,0.375,Cl,0.625,Li3 B0.375 Te1 H1.5 Cl0.625,0.6315153996960664
Li3Te(BH4)0.25Cl0.75,Li,Te,BH4,0.25,Cl,0.75,Li3 B0.25 Te1 H1 Cl0.75,0.6249681146850798
Li3Te(BH4)0.125Cl0.875,Li,Te,BH4,0.125,Cl,0.875,Li3 B0.125 Te1 H0.5 Cl0.875,0.6184208296740933
Li3Te(BH4)0.875(ICl4)0.125,Li,Te,BH4,0.875,ICl4,0.125,Li3 B0.875 Te1 H3.5 I0.125 Cl0.5,0.6803224334143297
Li3Te(BH4)0.75(ICl4)0.25,Li,Te,BH4,0.75,ICl4,0.25,Li3 B0.75 Te1 H3 I0.25 Cl1,0.6963930420776604
Li3Te(BH4)0.625(ICl4)0.375,Li,Te,BH4,0.625,ICl4,0.375,Li3 B0.625 Te1 H2.5 I0.375 Cl1.5,0.712463650740991
Li3Te(BH4)0.5(ICl4)0.5,Li,Te,BH4,0.5,ICl4,0.5,Li3 B0.5 Te1 H2 I0.5 Cl2,0.7285342594043216
Li3Te(BH4)0.375(ICl4)0.625,Li,Te,BH4,0.375,ICl4,0.625,Li3 B0.375 Te1 H1.5 I0.625 Cl2.5,0.7446048680676522
Li3Te(BH4)0.25(ICl4)0.75,Li,Te,BH4,0.25,ICl4,0.75,Li3 B0.25 Te1 H1 I0.75 Cl3,0.7606754767309829
Li3Te(BH4)0.125(ICl4)0.875,Li,Te,BH4,0.125,ICl4,0.875,Li3 B0.125 Te1 H0.5 I0.875 Cl3.5,0.7767460853943134
Li3Te(BH4)0.875F0.125,Li,Te,BH4,0.875,F,0.125,Li3 B0.875 Te1 H3.5 F0.125,0.6434195542614964
Li3Te(BH4)0.75F0.25,Li,Te,BH4,0.75,F,0.25,Li3 B0.75 Te1 H3 F0.25,0.6225872837719938
Li3Te(BH4)0.625F0.375,Li,Te,BH4,0.625,F,0.375,Li3 B0.625 Te1 H2.5 F0.375,0.6017550132824911
Li3Te(BH4)0.5F0.5,Li,Te,BH4,0.5,F,0.5,Li3 B0.5 Te1 H2 F0.5,0.5809227427929885
Li3Te(BH4)0.375F0.625,Li,Te,BH4,0.375,F,0.625,Li3 B0.375 Te1 H1.5 F0.625,0.5600904723034859
Li3Te(BH4)0.25F0.75,Li,Te,BH4,0.25,F,0.75,Li3 B0.25 Te1 H1 F0.75,0.5392582018139832
Li3Te(BH4)0.125F0.875,Li,Te,BH4,0.125,F,0.875,Li3 B0.125 Te1 H0.5 F0.875,0.5184259313244804
Li3Te(BH4)0.875(ClO4)0.125,Li,Te,BH4,0.875,ClO4,0.125,Li3 B0.875 Te1 H3.5 Cl0.125 O0.5,0.675263167724022
Li3Te(BH4)0.75(ClO4)0.25,Li,Te,BH4,0.75,ClO4,0.25,Li3 B0.75 Te1 H3 Cl0.25 O1,0.6862745106970448
Li3Te(BH4)0.625(ClO4)0.375,Li,Te,BH4,0.625,ClO4,0.375,Li3 B0.625 Te1 H2.5 Cl0.375 O1.5,0.6972858536700677
Li3Te(BH4)0.5(ClO4)0.5,Li,Te,BH4,0.5,ClO4,0.5,Li3 B0.5 Te1 H2 Cl0.5 O2,0.7082971966430904
Li3Te(BH4)0.375(ClO4)0.625,Li,Te,BH4,0.375,ClO4,0.625,Li3 B0.375 Te1 H1.5 Cl0.625 O2.5,0.7193085396161133
Li3Te(BH4)0.25(ClO4)0.75,Li,Te,BH4,0.25,ClO4,0.75,Li3 B0.25 Te1 H1 Cl0.75 O3,0.7303198825891362
Li3Te(BH4)0.125(ClO4)0.875,Li,Te,BH4,0.125,ClO4,0.875,Li3 B0.125 Te1 H0.5 Cl0.875 O3.5,0.741331225562159
Li3Te(BH4)0.875Br0.125,Li,Te,BH4,0.875,Br,0.125,Li3 B0.875 Te1 H3.5 Br0.125,0.6621685977020488
Li3Te(BH4)0.75Br0.25,Li,Te,BH4,0.75,Br,0.25,Li3 B0.75 Te1 H3 Br0.25,0.6600853706530986
Li3Te(BH4)0.625Br0.375,Li,Te,BH4,0.625,Br,0.375,Li3 B0.625 Te1 H2.5 Br0.375,0.6580021436041483
Li3Te(BH4)0.5Br0.5,Li,Te,BH4,0.5,Br,0.5,Li3 B0.5 Te1 H2 Br0.5,0.6559189165551981
Li3Te(BH4)0.375Br0.625,Li,Te,BH4,0.375,Br,0.625,Li3 B0.375 Te1 H1.5 Br0.625,0.6538356895062478
Li3Te(BH4)0.25Br0.75,Li,Te,BH4,0.25,Br,0.75,Li3 B0.25 Te1 H1 Br0.75,0.6517524624572976
Li3Te(BH4)0.125Br0.875,Li,Te,BH4,0.125,Br,0.875,Li3 B0.125 Te1 H0.5 Br0.875,0.6496692354083473
Li3Te(BH4)0.875(NH2)0.125,Li,Te,BH4,0.875,NH2,0.125,Li3 B0.875 Te1 H3.75 N0.125,0.6547285010986551
Li3Te(BH4)0.75(NH2)0.25,Li,Te,BH4,0.75,NH2,0.25,Li3 B0.75 Te1 H3.5 N0.25,0.645205177446311
Li3Te(BH4)0.625(NH2)0.375,Li,Te,BH4,0.625,NH2,0.375,Li3 B0.625 Te1 H3.25 N0.375,0.6356818537939669
Li3Te(BH4)0.5(NH2)0.5,Li,Te,BH4,0.5,NH2,0.5,Li3 B0.5 Te1 H3 N0.5,0.6261585301416228
Li3Te(BH4)0.375(NH2)0.625,Li,Te,BH4,0.375,NH2,0.625,Li3 B0.375 Te1 H2.75 N0.625,0.6166352064892787
Li3Te(BH4)0.25(NH2)0.75,Li,Te,BH4,0.25,NH2,0.75,Li3 B0.25 Te1 H2.5 N0.75,0.6071118828369347
Li3Te(BH4)0.125(NH2)0.875,Li,Te,BH4,0.125,NH2,0.875,Li3 B0.125 Te1 H2.25 N0.875,0.5975885591845906
Li3TeBF4,Li,Te,BF4,1.0,,,Li3 B1 Te1 F4,0.7594850612744398
Li3Te(BF4)0.875I0.125,Li,Te,BF4,0.875,I,0.125,Li3 B0.875 Te1 I0.125 F3.5,0.7526401723993176
Li3Te(BF4)0.75I0.25,Li,Te,BF4,0.75,I,0.25,Li3 B0.75 Te1 I0.25 F3,0.7457952835241952
Li3Te(BF4)0.625I0.375,Li,Te,BF4,0.625,I,0.375,Li3 B0.625 Te1 I0.375 F2.5,0.738950394649073
Li3Te(BF4)0.5I0.5,Li,Te,BF4,0.5,I,0.5,Li3 B0.5 Te1 I0.5 F2,0.7321055057739506
Li3Te(BF4)0.375I0.625,Li,Te,BF4,0.375,I,0.625,Li3 B0.375 Te1 I0.625 F1.5,0.7252606168988284
Li3Te(BF4)0.25I0.75,Li,Te,BF4,0.25,I,0.75,Li3 B0.25 Te1 I0.75 F1,0.718415728023706
Li3Te(BF4)0.125I0.875,Li,Te,BF4,0.125,I,0.875,Li3 B0.125 Te1 I0.875 F0.5,0.7115708391485838
Li3Te(BF4)0.875(NO2)0.125,Li,Te,BF4,0.875,NO2,0.125,Li3 B0.875 Te1 N0.125 O0.25 F3.5,0.7443072642035164
Li3Te(BF4)0.75(NO2)0.25,Li,Te,BF4,0.75,NO2,0.25,Li3 B0.75 Te1 N0.25 O0.5 F3,0.7291294671325931
Li3Te(BF4)0.625(NO2)0.375,Li,Te,BF4,0.625,NO2,0.375,Li3 B0.625 Te1 N0.375 O0.75 F2.5,0.7139516700616697
Li3Te(BF4)0.5(NO2)0.5,Li,Te,BF4,0.5,NO2,0.5,Li3 B0.5 Te1 N0.5 O1 F2,0.6987738729907464
Li3Te(BF4)0.375(NO2)0.625,Li,Te,BF4,0.375,NO2,0.625,Li3 B0.375 Te1 N0.625 O1.25 F1.5,0.6835960759198231
Li3Te(BF4)0.25(NO2)0.75,Li,Te,BF4,0.25,NO2,0.75,Li3 B0.25 Te1 N0.75 O1.5 F1,0.6684182788488997
Li3Te(BF4)0.125(NO2)0.875,Li,Te,BF4,0.125,NO2,0.875,Li3 B0.125 Te1 N0.875 O1.75 F0.5,0.6532404817779763
Li3Te(BF4)0.875(IO4)0.125,Li,Te,BF4,0.875,IO4,0.125,Li3 B0.875 Te1 I0.125 O0.5 F3.5,0.7612706844592544
Li3Te(BF4)0.75(IO4)0.25,Li,Te,BF4,0.75,IO4,0.25,Li3 B0.75 Te1 I0.25 O1 F3,0.7630563076440688
Li3Te(BF4)0.625(IO4)0.375,Li,Te,BF4,0.625,IO4,0.375,Li3 B0.625 Te1 I0.375 O1.5 F2.5,0.7648419308288834
Li3Te(BF4)0.5(IO4)0.5,Li,Te,BF4,0.5,IO4,0.5,Li3 B0.5 Te1 I0.5 O2 F2,0.7666275540136979
Li3Te(BF4)0.375(IO4)0.625,Li,Te,BF4,0.375,IO4,0.625,Li3 B0.375 Te1 I0.625 O2.5 F1.5,0.7684131771985124
Li3Te(BF4)0.25(IO4)0.75,Li,Te,BF4,0.25,IO4,0.75,Li3 B0.25 Te1 I0.75 O3 F1,0.770198800383327
Li3Te(BF4)0.125(IO4)0.875,Li,Te,BF4,0.125,IO4,0.875,Li3 B0.125 Te1 I0.875 O3.5 F0.5,0.7719844235681415
Li3Te(BF4)0.875(CN)0.125,Li,Te,BF4,0.875,CN,0.125,Li3 B0.875 Te1 C0.125 N0.125 F3.5,0.7440096603393808
Li3Te(BF4)0.75(CN)0.25,Li,Te,BF4,0.75,CN,0.25,Li3 B0.75 Te1 C0.25 N0.25 F3,0.7285342594043216
Li3Te(BF4)0.625(CN)0.375,Li,Te,BF4,0.625,CN,0.375,Li3 B0.625 Te1 C0.375 N0.375 F2.5,0.7130588584692625
Li3Te(BF4)0.5(CN)0.5,Li,Te,BF4,0.5,CN,0.5,Li3 B0.5 Te1 C0.5 N0.5 F2,0.6975834575342034
Li3Te(BF4)0.375(CN)0.625,Li,Te,BF4,0.375,CN,0.625,Li3 B0.375 Te1 C0.625 N0.625 F1.5,0.6821080565991443
Li3Te(BF4)0.25(CN)0.75,Li,Te,BF4,0.25,CN,0.75,Li3 B0.25 Te1 C0.75 N0.75 F1,0.6666326556640851
Li3Te(BF4)0.125(CN)0.875,Li,Te,BF4,0.125,CN,0.875,Li3 B0.125 Te1 C0.875 N0.875 F0.5,0.6511572547290261
Li3Te(BF4)0.875Cl0.125,Li,Te,BF4,0.875,Cl,0.125,Li3 B0.875 Te1 Cl0.125 F3.5,0.7410336216980232
Li3Te(BF4)0.75Cl0.25,Li,Te,BF4,0.75,Cl,0.25,Li3 B0.75 Te1 Cl0.25 F3,0.7225821821216066
Li3Te(BF4)0.625Cl0.375,Li,Te,BF4,0.625,Cl,0.375,Li3 B0.625 Te1 Cl0.375 F2.5,0.7041307425451899
Li3Te(BF4)0.5Cl0.5,Li,Te,BF4,0.5,Cl,0.5,Li3 B0.5 Te1 Cl0.5 F2,0.6856793029687733
Li3Te(BF4)0.375Cl0.625,Li,Te,BF4,0.375,Cl,0.625,Li3 B0.375 Te1 Cl0.625 F1.5,0.6672278633923566
Li3Te(BF4)0.25Cl0.75,Li,Te,BF4,0.25,Cl,0.75,Li3 B0.25 Te1 Cl0.75 F1,0.64877642381594
Li3Te(BF4)0.125Cl0.875,Li,Te,BF4,0.125,Cl,0.875,Li3 B0.125 Te1 Cl0.875 F0.5,0.6303249842395233
Li3Te(BF4)0.875(ICl4)0.125,Li,Te,BF4,0.875,ICl4,0.125,Li3 B0.875 Te1 I0.125 Cl0.5 F3.5,0.7636515153723404
Li3Te(BF4)0.75(ICl4)0.25,Li,Te,BF4,0.75,ICl4,0.25,Li3 B0.75 Te1 I0.25 Cl1 F3,0.767817969470241
Li3Te(BF4)0.625(ICl4)0.375,Li,Te,BF4,0.625,ICl4,0.375,Li3 B0.625 Te1 I0.375 Cl1.5 F2.5,0.7719844235681415
Li3Te(BF4)0.5(ICl4)0.5,Li,Te,BF4,0.5,ICl4,0.5,Li3 B0.5 Te1 I0.5 Cl2 F2,0.776150877666042
Li3Te(BF4)0.375(ICl4)0.625,Li,Te,BF4,0.375,ICl4,0.625,Li3 B0.375 Te1 I0.625 Cl2.5 F1.5,0.7803173317639426
Li3Te(BF4)0.25(ICl4)0.75,Li,Te,BF4,0.25,ICl4,0.75,Li3 B0.25 Te1 I0.75 Cl3 F1,0.7844837858618431
Li3Te(BF4)0.125(ICl4)0.875,Li,Te,BF4,0.125,ICl4,0.875,Li3 B0.125 Te1 I0.875 Cl3.5 F0.5,0.7886502399597436
Li3Te(BF4)0.875(BH4)0.125,Li,Te,BF4,0.875,BH4,0.125,Li3 B1 Te1 H0.5 F3.5,0.7475809067090098
Li3Te(BF4)0.75(BH4)0.25,Li,Te,BF4,0.75,BH4,0.25,Li3 B1 Te1 H1 F3,0.7356767521435796
Li3Te(BF4)0.625(BH4)0.375,Li,Te,BF4,0.625,BH4,0.375,Li3 B1 Te1 H1.5 F2.5,0.7237725975781496
Li3Te(BF4)0.5(BH4)0.5,Li,Te,BF4,0.5,BH4,0.5,Li3 B1 Te1 H2 F2,0.7118684430127195
Li3Te(BF4)0.375(BH4)0.625,Li,Te,BF4,0.375,BH4,0.625,Li3 B1 Te1 H2.5 F1.5,0.6999642884472894
Li3Te(BF4)0.25(BH4)0.75,Li,Te,BF4,0.25,BH4,0.75,Li3 B1 Te1 H3 F1,0.6880601338818593
Li3Te(BF4)0.125(BH4)0.875,Li,Te,BF4,0.125,BH4,0.875,Li3 B1 Te1 H3.5 F0.5,0.6761559793164292
Li3Te(BF4)0.875F0.125,Li,Te,BF4,0.875,F,0.125,Li3 B0.875 Te1 F3.625,0.7267486362195071
Li3Te(BF4)0.75F0.25,Li,Te,BF4,0.75,F,0.25,Li3 B0.75 Te1 F3.25,0.6940122111645743
Li3Te(BF4)0.625F0.375,Li,Te,BF4,0.625,F,0.375,Li3 B0.625 Te1 F2.875,0.6612757861096417
Li3Te(BF4)0.5F0.5,Li,Te,BF4,0.5,F,0.5,Li3 B0.5 Te1 F2.5,0.6285393610547089
Li3Te(BF4)0.375F0.625,Li,Te,BF4,0.375,F,0.625,Li3 B0.375 Te1 F2.125,0.5958029359997761
Li3Te(BF4)0.25F0.75,Li,Te,BF4,0.25,F,0.75,Li3 B0.25 Te1 F1.75,0.5630665109448434
Li3Te(BF4)0.125F0.875,Li,Te,BF4,0.125,F,0.875,Li3 B0.125 Te1 F1.375,0.5303300858899106
Li3Te(BF4)0.875(ClO4)0.125,Li,Te,BF4,0.875,ClO4,0.125,Li3 B0.875 Te1 Cl0.125 O0.5 F3.5,0.7585922496820326
Li3Te(BF4)0.75(ClO4)0.25,Li,Te,BF4,0.75,ClO4,0.25,Li3 B0.75 Te1 Cl0.25 O1 F3,0.7576994380896254
Li3Te(BF4)0.625(ClO4)0.375,Li,Te,BF4,0.625,ClO4,0.375,Li3 B0.625 Te1 Cl0.375 O1.5 F2.5,0.7568066264972181
Li3Te(BF4)0.5(ClO4)0.5,Li,Te,BF4,0.5,ClO4,0.5,Li3 B0.5 Te1 Cl0.5 O2 F2,0.7559138149048108
Li3Te(BF4)0.375(ClO4)0.625,Li,Te,BF4,0.375,ClO4,0.625,Li3 B0.375 Te1 Cl0.625 O2.5 F1.5,0.7550210033124036
Li3Te(BF4)0.25(ClO4)0.75,Li,Te,BF4,0.25,ClO4,0.75,Li3 B0.25 Te1 Cl0.75 O3 F1,0.7541281917199963
Li3Te(BF4)0.125(ClO4)0.875,Li,Te,BF4,0.125,ClO4,0.875,Li3 B0.125 Te1 Cl0.875 O3.5 F0.5,0.7532353801275891
Li3Te(BF4)0.875Br0.125,Li,Te,BF4,0.875,Br,0.125,Li3 B0.875 Te1 Br0.125 F3.5,0.7454976796600595
Li3Te(BF4)0.75Br0.25,Li,Te,BF4,0.75,Br,0.25,Li3 B0.75 Te1 Br0.25 F3,0.7315102980456791
Li3Te(BF4)0.625Br0.375,Li,Te,BF4,0.625,Br,0.375,Li3 B0.625 Te1 Br0.375 F2.5,0.7175229164312988
Li3Te(BF4)0.5Br0.5,Li,Te,BF4,0.5,Br,0.5,Li3 B0.5 Te1 Br0.5 F2,0.7035355348169184
Li3Te(BF4)0.375Br0.625,Li,Te,BF4,0.375,Br,0.625,Li3 B0.375 Te1 Br0.625 F1.5,0.689548153202538
Li3Te(BF4)0.25Br0.75,Li,Te,BF4,0.25,Br,0.75,Li3 B0.25 Te1 Br0.75 F1,0.6755607715881577
Li3Te(BF4)0.125Br0.875,Li,Te,BF4,0.125,Br,0.875,Li3 B0.125 Te1 Br0.875 F0.5,0.6615733899737773
Li3Te(BF4)0.875(NH2)0.125,Li,Te,BF4,0.875,NH2,0.125,Li3 B0.875 Te1 H0.25 N0.125 F3.5,0.7380575830566657
Li3Te(BF4)0.75(NH2)0.25,Li,Te,BF4,0.75,NH2,0.25,Li3 B0.75 Te1 H0.5 N0.25 F3,0.7166301048388916
Li3Te(BF4)0.625(NH2)0.375,Li,Te,BF4,0.625,NH2,0.375,Li3 B0.625 Te1 H0.75 N0.375 F2.5,0.6952026266211173
Li3Te(BF4)0.5(NH2)0.5,Li,Te,BF4,0.5,NH2,0.5,Li3 B0.5 Te1 H1 N0.5 F2,0.6737751484033432
Li3Te(BF4)0.375(NH2)0.625,Li,Te,BF4,0.375,NH2,0.625,Li3 B0.375 Te1 H1.25 N0.625 F1.5,0.652347670185569
Li3Te(BF4)0.25(NH2)0.75,Li,Te,BF4,0.25,NH2,0.75,Li3 B0.25 Te1 H1.5 N0.75 F1,0.6309201919677949
Li3Te(BF4)0.125(NH2)0.875,Li,Te,BF4,0.125,NH2,0.875,Li3 B0.125 Te1 H1.75 N0.875 F0.5,0.6094927137500207
Li3TeAlH4,Li,Te,AlH4,1.0,,,Li3 Al1 Te1 H4,0.8142441722754182
Li3Te(AlH4)0.875I0.125,Li,Te,AlH4,0.875,I,0.125,Li3 Al0.875 Te1 H3.5 I0.125,0.8005543945251736
Li3Te(AlH4)0.75I0.25,Li,Te,AlH4,0.75,I,0.25,Li3 Al0.75 Te1 H3 I0.25,0.786864616774929
Li3Te(AlH4)0.625I0.375,Li,Te,AlH4,0.625,I,0.375,Li3 Al0.625 Te1 H2.5 I0.375,0.7731748390246844
Li3Te(AlH4)0.5I0.5,Li,Te,AlH4,0.5,I,0.5,Li3 Al0.5 Te1 H2 I0.5,0.7594850612744398
Li3Te(AlH4)0.375I0.625,Li,Te,AlH4,0.375,I,0.625,Li3 Al0.375 Te1 H1.5 I0.625,0.7457952835241952
Li3Te(AlH4)0.25I0.75,Li,Te,AlH4,0.25,I,0.75,Li3 Al0.25 Te1 H1 I0.75,0.7321055057739506
Li3Te(AlH4)0.125I0.875,Li,Te,AlH4,0.125,I,0.875,Li3 Al0.125 Te1 H0.5 I0.875,0.718415728023706
Li3Te(AlH4)0.875(NO2)0.125,Li,Te,AlH4,0.875,NO2,0.125,Li3 Al0.875 Te1 H3.5 N0.125 O0.25,0.7922214863293726
Li3Te(AlH4)0.75(NO2)0.25,Li,Te,AlH4,0.75,NO2,0.25,Li3 Al0.75 Te1 H3 N0.25 O0.5,0.770198800383327
Li3Te(AlH4)0.625(NO2)0.375,Li,Te,AlH4,0.625,NO2,0.375,Li3 Al0.625 Te1 H2.5 N0.375 O0.75,0.7481761144372813
Li3Te(AlH4)0.5(NO2)0.5,Li,Te,AlH4,0.5,NO2,0.5,Li3 Al0.5 Te1 H2 N0.5 O1,0.7261534284912357
Li3Te(AlH4)0.375(NO2)0.625,Li,Te,AlH4,0.375,NO2,0.625,Li3 Al0.375 Te1 H1.5 N0.625 O1.25,0.7041307425451899
Li3Te(AlH4)0.25(NO2)0.75,Li,Te,AlH4,0.25,NO2,0.75,Li3 Al0.25 Te1 H1 N0.75 O1.5,0.6821080565991443
Li3Te(AlH4)0.125(NO2)0.875,Li,Te,AlH4,0.125,NO2,0.875,Li3 Al0.125 Te1 H0.5 N0.875 O1.75,0.6600853706530986
Li3Te(AlH4)0.875(IO4)0.125,Li,Te,AlH4,0.875,IO4,0.125,Li3 Al0.875 Te1 H3.5 I0.125 O0.5,0.8091849065851106
Li3Te(AlH4)0.75(IO4)0.25,Li,Te,AlH4,0.75,IO4,0.25,Li3 Al0.75 Te1 H3 I0.25 O1,0.8041256408948028
Li3Te(AlH4)0.625(IO4)0.375,Li,Te,AlH4,0.625,IO4,0.375,Li3 Al0.625 Te1 H2.5 I0.375 O1.5,0.799066375204495
Li3Te(AlH4)0.5(IO4)0.5,Li,Te,AlH4,0.5,IO4,0.5,Li3 Al0.5 Te1 H2 I0.5 O2,0.7940071095141872
Li3Te(AlH4)0.375(IO4)0.625,Li,Te,AlH4,0.375,IO4,0.625,Li3 Al0.375 Te1 H1.5 I0.625 O2.5,0.7889478438238794
Li3Te(AlH4)0.25(IO4)0.75,Li,Te,AlH4,0.25,IO4,0.75,Li3 Al0.25 Te1 H1 I0.75 O3,0.7838885781335716
Li3Te(AlH4)0.125(IO4)0.875,Li,Te,AlH4,0.125,IO4,0.875,Li3 Al0.125 Te1 H0.5 I0.875 O3.5,0.7788293124432638
Li3Te(AlH4)0.875(CN)0.125,Li,Te,AlH4,0.875,CN,0.125,Li3 Al0.875 Te1 H3.5 C0.125 N0.125,0.7919238824652368
Li3Te(AlH4)0.75(CN)0.25,Li,Te,AlH4,0.75,CN,0.25,Li3 Al0.75 Te1 H3 C0.25 N0.25,0.7696035926550554
Li3Te(AlH4)0.625(CN)0.375,Li,Te,AlH4,0.625,CN,0.375,Li3 Al0.625 Te1 H2.5 C0.375 N0.375,0.747283302844874
Li3Te(AlH4)0.5(CN)0.5,Li,Te,AlH4,0.5,CN,0.5,Li3 Al0.5 Te1 H2 C0.5 N0.5,0.7249630130346926
Li3Te(AlH4)0.375(CN)0.625,Li,Te,AlH4,0.375,CN,0.625,Li3 Al0.375 Te1 H1.5 C0.625 N0.625,0.7026427232245112
Li3Te(AlH4)0.25(CN)0.75,Li,Te,AlH4,0.25,CN,0.75,Li3 Al0.25 Te1 H1 C0.75 N0.75,0.6803224334143297
Li3Te(AlH4)0.125(CN)0.875,Li,Te,AlH4,0.125,CN,0.875,Li3 Al0.125 Te1 H0.5 C0.875 N0.875,0.6580021436041483
Li3Te(AlH4)0.875Cl0.125,Li,Te,AlH4,0.875,Cl,0.125,Li3 Al0.875 Te1 H3.5 Cl0.125,0.7889478438238794
Li3Te(AlH4)0.75Cl0.25,Li,Te,AlH4,0.75,Cl,0.25,Li3 Al0.75 Te1 H3 Cl0.25,0.7636515153723404
Li3Te(AlH4)0.625Cl0.375,Li,Te,AlH4,0.625,Cl,0.375,Li3 Al0.625 Te1 H2.5 Cl0.375,0.7383551869208015
Li3Te(AlH4)0.5Cl0.5,Li,Te,AlH4,0.5,Cl,0.5,Li3 Al0.5 Te1 H2 Cl0.5,0.7130588584692625
Li3Te(AlH4)0.375Cl0.625,Li,Te,AlH4,0.375,Cl,0.625,Li3 Al0.375 Te1 H1.5 Cl0.625,0.6877625300177236
Li3Te(AlH4)0.25Cl0.75,Li,Te,AlH4,0.25,Cl,0.75,Li3 Al0.25 Te1 H1 Cl0.75,0.6624662015661846
Li3Te(AlH4)0.125Cl0.875,Li,Te,AlH4,0.125,Cl,0.875,Li3 Al0.125 Te1 H0.5 Cl0.875,0.6371698731146457
Li3Te(AlH4)0.875(ICl4)0.125,Li,Te,AlH4,0.875,ICl4,0.125,Li3 Al0.875 Te1 H3.5 I0.125 Cl0.5,0.8115657374981965
Li3Te(AlH4)0.75(ICl4)0.25,Li,Te,AlH4,0.75,ICl4,0.25,Li3 Al0.75 Te1 H3 I0.25 Cl1,0.8088873027209748
Li3Te(AlH4)0.625(ICl4)0.375,Li,Te,AlH4,0.625,ICl4,0.375,Li3 Al0.625 Te1 H2.5 I0.375 Cl1.5,0.806208867943753
Li3Te(AlH4)0.5(ICl4)0.5,Li,Te,AlH4,0.5,ICl4,0.5,Li3 Al0.5 Te1 H2 I0.5 Cl2,0.8035304331665312
Li3Te(AlH4)0.375(ICl4)0.625,Li,Te,AlH4,0.375,ICl4,0.625,Li3 Al0.375 Te1 H1.5 I0.625 Cl2.5,0.8008519983893094
Li3Te(AlH4)0.25(ICl4)0.75,Li,Te,AlH4,0.25,ICl4,0.75,Li3 Al0.25 Te1 H1 I0.75 Cl3,0.7981735636120877
Li3Te(AlH4)0.125(ICl4)0.875,Li,Te,AlH4,0.125,ICl4,0.875,Li3 Al0.125 Te1 H0.5 I0.875 Cl3.5,0.7954951288348658
Li3Te(AlH4)0.875(BH4)0.125,Li,Te,AlH4,0.875,BH4,0.125,Li3 Al0.875 B0.125 Te1 H4,0.7954951288348658
Li3Te(AlH4)0.75(BH4)0.25,Li,Te,AlH4,0.75,BH4,0.25,Li3 Al0.75 B0.25 Te1 H4,0.7767460853943134
Li3Te(AlH4)0.625(BH4)0.375,Li,Te,AlH4,0.625,BH4,0.375,Li3 Al0.625 B0.375 Te1 H4,0.757997041953761
Li3Te(AlH4)0.5(BH4)0.5,Li,Te,AlH4,0.5,BH4,0.5,Li3 Al0.5 B0.5 Te1 H4,0.7392479985132087
