material_id,composition,E_g
mp-1235628,Ba2 Li1 La1 Ir1 O6,0.0
mp-562473,Li2 Sn4 P6 O24,3.1282
mp-9919,Li2 Zn2 Sb2,0.4057000000000004
mp-32352,Li2 Ni2 P8 O24,0.9356
mp-1235346,Li1 Ag2 C2 N2 O2,0.0
mp-7874,Li2 Ga2 Ge2,0.0
mp-756206,Li4 V4 F16,2.0288
mp-684506,Li4 Bi4 P16 O48,4.6455
mp-1211108,Li2 Gd2 S4 O16,2.6325
mp-1035156,Li1 Mg14 Bi1 O16,2.1323999999999987
mp-1110628,Na2 Li1 Y1 F6,5.4375
mp-1236742,Li1 Mn2 P4 O14,0.3181999999999999
mp-540482,Li2 Cr2 P4 O14,3.2987
mp-754909,Li1 V1 B1 O4,1.3048000000000002
mp-867829,Li1 V1 Rh2,0.0
mp-761207,Li4 Fe8 B8 O24,1.56
mp-1235154,Li1 Ti1 V2 Cr1 O10,1.0597
mp-772513,Li4 Cr12 O32,1.6692
mp-865893,Li1 Zr2 Tc1,0.0
mp-759419,Li2 Sb2 P8 O24,3.8493
mp-1222306,Li1 Ga1 O2,0.7685999999999997
mp-1040095,Li1 Mg30 W1 O32,3.215699999999999
mp-1236358,Li1 Bi2 As2 Pb2 O10,0.0
mp-779073,Li6 Mn6 F18,3.2825
mp-1194702,Li4 B4 H36 N12,4.086399999999999
mp-1280939,Li2 Cr4 O6,1.3519000000000003
mp-781616,Li4 Mn8 B8 O24,0.0
mp-1185305,Li1 Ge1 Pt2,0.0
mp-977570,Li1 Pr2 Os1,0.0
mp-1001581,Li1 C6,0.0
mp-1235142,Sr4 Li1 Mn2 Cu3 S4 O4,0.0
mp-31066,Li2 U2 N4,0.0
mp-1235315,Li1 Mn6 O5 F7,0.0
mp-1222285,Li1 Sb1 Te2,0.1759000000000004
mp-752527,Li2 Fe6 O12,0.0
mp-677510,Li2 Mg2 S2 O8 F2,0.6513
mp-861951,Li1 Ta1 Rh2,0.0
mp-1222404,Li1 Bi1 S2,1.4793000000000005
mp-703273,K5 Ba5 Li5 Zn5 F30,4.4943
mp-756548,Li2 V10 B4 O20,0.0
mp-9918,Li8 Ge8,0.0
mp-762511,Li2 Fe4 C4 O14,1.9084
mp-1185381,Li1 In2 Ni1,0.0
mp-558059,Li2 Mn2 F8,0.6967
mp-26131,Li2 Mo2 P8 O24,4.2515
mp-753170,Li1 V1 P3 H1 O10,2.0377
mp-768599,Li2 Cu2 C2 S2 O14,0.0
mp-865963,Li1 Ga1 Ag2,0.0
