material_id,formula_pretty,composition,E_f,E_g
mp-757650,LiCoPO4,Li4 Co4 P4 O16,-2.3492548972108844,2.6024000000000003
mp-1210941,LiMg4SnO8,Li2 Mg8 Sn2 O16,-2.2624768238095223,0.0
mp-1236188,LiTiFe5O8,Li1 Ti1 Fe5 O8,-1.8412988117777767,0.007100000000000328
mp-1238576,LiMnP3(H5O7)2,Li2 Mn2 P6 H20 O28,-1.707870233023894,0.2416999999999998
mp-1031070,LiMg6SbO8,Li1 Mg6 Sb1 O8,-2.6443199995833324,0.22439999999999927
mp-808857,LiVP2HO8,Li4 V4 P8 H4 O32,-1.3153598031822338,0.0
mp-1036537,LiMg14AlO16,Li1 Mg14 Al1 O16,-3.021747629479166,4.285999999999999
mp-15182,Rb2LiCo(CN)6,Rb4 Li2 Co2 C12 N12,-0.28724566458333367,3.9642
mp-679929,LiEu3SiCl3O4,Li4 Eu12 Si4 Cl12 O16,-3.0279422477777787,0.4710000000000001
mp-1185203,LiCdO3,Li1 Cd1 O3,-0.6734162911666658,0.0
mp-25953,LiCoPO4,Li6 Co6 P6 O24,-2.3456976239965974,2.9335
mp-765509,LiV(OF)2,Li4 V4 O8 F8,-2.6416981243055546,1.7878
mp-1305547,K2LiMn2O4,K4 Li2 Mn4 O8,-1.7974579137439335,0.687
mp-627993,LiV2O5,Li4 V8 O20,-2.381453606979166,0.0
mp-864784,LiSnRh2,Li1 Sn1 Rh2,-0.5665361545833321,0.0
mp-1663413,LiNiPO4,Li4 Ni4 P4 O16,-2.287152595068027,3.8389999999999995
mp-756890,LiV2(PO3)5,Li2 V4 P10 O30,-2.588047749347826,2.76
mp-2314,LiPb,Li1 Pb1,-0.27187876166666536,0.0
mp-1192182,Sr2LiH2N,Sr8 Li4 H8 N4,-0.6145718084722223,1.4314000000000002
mp-1379435,LiNiO2,Li5 Ni5 O10,-0.3049618730833338,0.0
mp-753814,LiMn3(OF3)2,Li2 Mn6 O4 F12,-2.6040953460105367,0.29980000000000007
mp-1176705,LiFeF3,Li4 Fe4 F12,-2.7526682916666667,3.4694000000000003
mp-754917,Li(NiO2)2,Li4 Ni8 O16,-1.1578536019047618,0.0
mp-1176698,LiFeF3,Li2 Fe2 F6,-2.7857522801666663,3.7201999999999997
mp-766523,LiCo2(PO4)2,Li4 Co8 P8 O32,-2.242660839239927,0.43379999999999996
mp-26015,LiCo(PO3)3,Li4 Co4 P12 O36,-2.4993608528401348,1.7070999999999998
mp-1301164,LiCo3NiO8,Li2 Co6 Ni2 O16,-1.2173984387179468,0.11359999999999992
mp-1031148,LiMg6BO8,Li1 Mg6 B1 O8,-2.6135185189062495,2.1513999999999998
mp-1235391,LiSm4Tm4O12,Li1 Sm4 Tm4 O12,-3.630688371111112,0.0
mp-775178,LiFe2OF3,Li4 Fe8 O4 F12,-2.3475839911904757,2.0694
mp-756188,LiCu3O4,Li2 Cu6 O8,-1.148421127291667,0.0
mp-504353,LiSb(PO3)4,Li2 Sb2 P8 O24,-2.5161846523280422,4.357
mp-555420,NaLiTi3O7,Na8 Li8 Ti24 O56,-3.202841142059386,2.6233999999999997
mp-770414,LiAlVO4,Li4 Al4 V4 O16,-2.7990602454761904,1.709
mp-1236208,LiSm4(Mo2O7)2,Li1 Sm4 Mo4 O14,-2.791878605144927,1.5385
mp-1185234,LiCe2Al,Li1 Ce2 Al1,-0.08044246808333,0.0
mp-1093564,LiMgGa2,Li1 Mg1 Ga2,1.2290834566666669,0.0
mp-1235406,LiCu6OF11,Li1 Cu6 O1 F11,-1.7697684041228068,0.031299999999999883
mp-762293,LiCoSiO4,Li2 Co2 Si2 O8,-2.287325238333333,1.0889000000000002
mp-30959,LiHS,Li8 H8 S8,-0.8759067673263891,3.5474
mp-761280,LiV(TeO4)3,Li1 V1 Te3 O12,-1.610088373137254,1.3811000000000004
mp-504426,LiH5S(NO2)2,Li4 H20 S4 N8 O16,-1.208053059583333,5.619999999999999
mp-1211145,LiSm(MoO4)2,Li2 Sm2 Mo4 O16,-2.4925475019444447,3.0660000000000003
mp-861189,LiCuS,Li2 Cu2 S2,-0.7902229335416658,0.7925999999999993
mp-1185261,LiNiO3,Li1 Ni1 O3,-0.7028767471666661,0.0
mp-554101,LiIn(MoO4)2,Li4 In4 Mo8 O32,-2.0549728754166665,3.2584
mp-752528,LiP2WO7,Li2 P4 W2 O14,-2.513680550010822,3.4655
mp-1021287,LiMg6Si,Li2 Mg12 Si2,0.047658377708333255,0.0
